Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
X360,2013.0,Action,Take-Two Interactive,16.27,97.0,8.1,Rockstar North,M
PS2,2002.0,Action,Take-Two Interactive,16.15,95.0,8.7,Rockstar North,M
DS,2005.0,Puzzle,Nintendo,15.29,77.0,7.1,Nintendo,E
PS2,2001.0,Racing,Sony Computer Entertainment,14.98,95.0,8.4,Polyphony Digital,E
X360,2011.0,Shooter,Activision,14.73,88.0,3.4,"Infinity Ward, Sledgehammer Games",M
X360,2010.0,Shooter,Activision,14.61,87.0,6.3,Treyarch,M
PS3,2012.0,Shooter,Activision,13.79,83.0,5.3,Treyarch,M
X360,2012.0,Shooter,Activision,13.67,83.0,4.8,Treyarch,M
X360,2009.0,Shooter,Activision,13.47,94.0,6.3,Infinity Ward,M
PS3,2011.0,Shooter,Activision,13.32,88.0,3.2,"Infinity Ward, Sledgehammer Games",M
PS2,2001.0,Action,Take-Two Interactive,13.1,97.0,8.5,DMA Design,M
Wii,2008.0,Fighting,Nintendo,12.84,93.0,8.9,Game Arts,T
3DS,2011.0,Racing,Nintendo,12.66,85.0,8.2,"Retro Studios, Entertainment Analysis & Development Division",E
PS3,2010.0,Shooter,Activision,12.63,88.0,6.4,Treyarch,M
PS4,2014.0,Action,Take-Two Interactive,12.61,97.0,8.3,Rockstar North,M
DS,2005.0,Simulation,Nintendo,12.13,86.0,8.7,Nintendo,E
X360,2007.0,Shooter,Microsoft Game Studios,12.12,94.0,7.8,"Bungie Software, Bungie",M
PS2,2004.0,Racing,Sony Computer Entertainment,11.66,89.0,8.5,Polyphony Digital,E
Wii,2007.0,Platform,Nintendo,11.35,97.0,8.9,Nintendo,E
X360,2008.0,Action,Take-Two Interactive,11.01,98.0,7.9,Rockstar North,M
PS,1997.0,Racing,Sony Computer Entertainment,10.95,96.0,8.7,Polyphony Digital,E
3DS,2011.0,Platform,Nintendo,10.81,90.0,8.4,Nintendo,E
PS3,2010.0,Racing,Sony Computer Entertainment,10.7,84.0,7.5,Polyphony Digital,E
PS3,2009.0,Shooter,Activision,10.6,94.0,6.3,Infinity Ward,M
PS3,2008.0,Action,Take-Two Interactive,10.5,98.0,7.5,Rockstar North,M
X360,2013.0,Shooter,Activision,10.25,73.0,2.6,Infinity Ward,M
Wii,2011.0,Misc,Ubisoft,10.12,74.0,7.8,Ubisoft,E10+
3DS,2012.0,Platform,Nintendo,9.9,78.0,7.2,Nintendo,E
X360,2010.0,Shooter,Microsoft Game Studios,9.86,91.0,7.9,Bungie,M
PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,92.0,9.2,SquareSoft,T
X360,2012.0,Shooter,Microsoft Game Studios,9.71,87.0,7.0,343 Industries,M
PS,1999.0,Racing,Sony Computer Entertainment,9.49,93.0,9.0,Polyphony Digital,T
Wii,2010.0,Misc,Ubisoft,9.44,74.0,7.3,Ubisoft,E10+
PS3,2013.0,Shooter,Activision,9.36,71.0,2.6,Infinity Ward,M
X360,2007.0,Shooter,Activision,9.31,94.0,8.4,Infinity Ward,M
3DS,2012.0,Simulation,Nintendo,9.16,88.0,8.7,Nintendo,E
DS,2007.0,Misc,Nintendo,8.91,72.0,7.8,Hudson Soft,E
X360,2011.0,Role-Playing,Bethesda Softworks,8.79,96.0,8.4,Bethesda Game Studios,M
PS4,2015.0,Sports,Electronic Arts,8.57,82.0,4.3,EA Sports,E
XB,2004.0,Shooter,Microsoft Game Studios,8.49,95.0,8.2,Bungie Software,M
Wii,2010.0,Misc,Nintendo,8.38,68.0,7.4,Nd Cube,E
Wii,2007.0,Misc,Nintendo,8.27,62.0,6.3,Hudson,E
PS3,2012.0,Action,Electronic Arts,8.16,88.0,6.6,Electronic Arts,E
PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92.0,8.7,SquareSoft,T
PC,2009.0,Simulation,Electronic Arts,8.01,86.0,7.6,The Sims Studio,T
PS,1999.0,Role-Playing,SquareSoft,7.86,90.0,8.6,SquareSoft,T
DS,2008.0,Role-Playing,Nintendo,7.72,83.0,8.5,Game Freak,E
PSP,2005.0,Action,Take-Two Interactive,7.69,88.0,7.6,Rockstar Leeds,M
PS4,2014.0,Shooter,Activision,7.66,83.0,5.7,Sledgehammer Games,M
PS4,2016.0,Sports,Electronic Arts,7.59,85.0,5.0,"EA Sports, EA Vancouver",E
Wii,2010.0,Platform,Nintendo,7.51,97.0,9.1,Nintendo EAD Tokyo,E
X360,2008.0,Shooter,Activision,7.38,84.0,7.6,Treyarch,M
X360,2011.0,Shooter,Electronic Arts,7.32,84.0,7.4,EA DICE,M
PS2,2003.0,Racing,Electronic Arts,7.2,85.0,8.6,EA Black Box,E
Wii,2009.0,Misc,Ubisoft,7.2,49.0,8.0,Ubisoft Paris,E10+
PS3,2011.0,Shooter,Electronic Arts,7.17,85.0,7.5,EA DICE,M
PS4,2015.0,Role-Playing,Bethesda Softworks,7.16,87.0,6.5,Bethesda Game Studios,M
PS,1998.0,Fighting,Sony Computer Entertainment,7.16,96.0,9.1,Namco,T
Wii,2006.0,Action,Nintendo,7.15,95.0,9.0,Nintendo,T
PS,1998.0,Platform,Sony Computer Entertainment,7.13,91.0,8.9,Naughty Dog,E
WiiU,2014.0,Racing,Nintendo,7.09,88.0,9.1,Nintendo,E
GC,2001.0,Fighting,Nintendo,7.07,92.0,9.1,HAL Labs,T
PS2,2004.0,Racing,Electronic Arts,6.9,82.0,8.6,EA Canada,E
